"Search Phrase","Category","Product ID","Product","Brand or Artist","Release","Format","List Price","Sale Price","Discount","%","Comm.","Bestseller","Rating","Reviews","Link"
"","","B001EIJY2M","Ellie Shoes Women's 301-Hazel Boot","","","","","$5.64 - $50.95","","","","","4.4","73","http://www.amazon.com/Ellie-Shoes-Womens-301-Hazel-Black/dp/B001EIJY2M/ref=sr_1_110/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473604&sr=1-110&keywords=Northern&tag=dummyaffliate"
"","","B00BLZ1QS8","Quilted Northern Ultra Plus Bath Tissue, 18 Double Rolls","","","","","$22.78","","","$0.91","","4.4","53","http://www.amazon.com/Quilted-Northern-Ultra-Tissue-Double/dp/B00BLZ1QS8/ref=sr_1_40/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473597&sr=1-40&keywords=Northern&tag=dummyaffliate"
"","","B003OWJCIM","SAD Light Therapy Box - Alaska Northern Lights- North Star 10,000","","","","$399.00","$299.00","$100.00","25.1%","$11.96","","4.4","40","http://www.amazon.com/SAD-Light-Therapy-Box-Northern/dp/B003OWJCIM/ref=sr_1_14/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473595&sr=1-14&keywords=Northern&tag=dummyaffliate"
"","","B0000AXNO5","Simple Green SPG13005 Degreaser Cleaner, Deodorizer, 1 Gallon Refill Bottle","","","","$22.51","$21.84","$0.67","3.0%","$0.87","","4.4","26","http://www.amazon.com/Simple-Green-SPG13005-Degreaser-Deodorizer/dp/B0000AXNO5/ref=sr_1_95/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473601&sr=1-95&keywords=Northern&tag=dummyaffliate"
"","","B00DOIGHQ6","CLINIQUE by Clinique Moisture Surge Extended Thirst Relief ( All Skin Types )--75ml/2.5oz","","","","$60.00","$44.50","$15.50","25.8%","$1.78","","4.4","18","http://www.amazon.com/CLINIQUE-Clinique-Moisture-Extended-Thirst/dp/B00DOIGHQ6/ref=sr_1_70/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473599&sr=1-70&keywords=Northern&tag=dummyaffliate"
"","","B00092ZY14","Duracell MX2500B2PK Photo Batteries, Size AAAA  (2 Batteries)","","","","","$5.03","","","$0.20","","4.4","18","http://www.amazon.com/Duracell-MX2500B2PK-Photo-Batteries-Size/dp/B00092ZY14/ref=sr_1_109/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473604&sr=1-109&keywords=Northern&tag=dummyaffliate"
"","","B0011X554G","Boxelite OS 10,000 Lux Full Spectrum Light Therapy Desk Lamp for SAD, Black","","","","$265.99","$238.69","$27.30","10.3%","$9.55","","4.4","10","http://www.amazon.com/Boxelite-Spectrum-Light-Therapy-Black/dp/B0011X554G/ref=sr_1_21/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473595&sr=1-21&keywords=Northern&tag=dummyaffliate"
"","","B000PDY3HI","Great Northern Popcorn, 8-Ounce Portion Packs (Pack of 24)","","","","","$37.76","","","$1.51","Yes","4.4","1","http://www.amazon.com/Great-Northern-Popcorn-8-Ounce-Portion/dp/B000PDY3HI/ref=sr_1_6/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473595&sr=1-6&keywords=Northern&tag=dummyaffliate"
"","","B0002DSVS8","Energizer Watch/Electronic Batteries, 3 Volts, 2032, 2 batteries (Lithium Button Cell)","","","","$5.99","$3.03","$2.96","49.4%","$0.12","","4.4","1","http://www.amazon.com/Energizer-Electronic-Batteries-batteries-Lithium/dp/B0002DSVS8/ref=sr_1_27/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473597&sr=1-27&keywords=Northern&tag=dummyaffliate"
"","","B003PGQI48","Wagner 0518080 Control Spray Max HVLP Sprayer","","","","$129.99","$101.96","$28.03","21.6%","$4.08","","4.3","485","http://www.amazon.com/Wagner-0518080-Control-Spray-Sprayer/dp/B003PGQI48/ref=sr_1_46/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473597&sr=1-46&keywords=Northern&tag=dummyaffliate"
"","","B00BFUFYZK","Quilted Northern Ultra Facial Tissue Cube (16 Boxes)","","","","","$39.99","","","$1.60","","4.3","75","http://www.amazon.com/Quilted-Northern-Ultra-Facial-Tissue/dp/B00BFUFYZK/ref=sr_1_16/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473595&sr=1-16&keywords=Northern&tag=dummyaffliate"
"","","B0002SQYSM","Lisle 52500 Mechanic's Stethoscope","","","","$19.59","$16.76","$2.83","14.4%","$0.67","","4.3","74","http://www.amazon.com/Lisle-52500-Mechanics-Stethoscope/dp/B0002SQYSM/ref=sr_1_97/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473604&sr=1-97&keywords=Northern&tag=dummyaffliate"
"","","B002YSMEBY","Travelite 10,000 Lux Full Spectrum Light Therapy Portable Desk Lamp for SAD, Beige","","","","$221.99","$197.19","$24.80","11.2%","$7.89","","4.3","54","http://www.amazon.com/Travelite-Spectrum-Light-Therapy-Portable/dp/B002YSMEBY/ref=sr_1_8/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473595&sr=1-8&keywords=Northern&tag=dummyaffliate"
"","","B0015DLMOO","Lisle 52750 Stethoscope Kit","","","","$23.95","$21.53","$2.42","10.1%","$0.86","","4.3","50","http://www.amazon.com/Lisle-52750-Stethoscope-Kit/dp/B0015DLMOO/ref=sr_1_75/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473601&sr=1-75&keywords=Northern&tag=dummyaffliate"
"","","B008C0VKJU","KOBI ELECTRIC K2L7 8-watt (40 watt) R20 LED Warm White Light Bulb, Dimmable","","","","$34.99","$13.59","$21.40","61.2%","$0.54","","4.3","49","http://www.amazon.com/KOBI-ELECTRIC-8-watt-White-Dimmable/dp/B008C0VKJU/ref=sr_1_115/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473604&sr=1-115&keywords=Northern&tag=dummyaffliate"
"","","B0033XV37K","Great Northern Popcorn, 12-Ounce Portion Packs (Pack of 24)","","","","","$40.62","","","$1.62","","4.3","42","http://www.amazon.com/Great-Northern-Popcorn-12-Ounce-Portion/dp/B0033XV37K/ref=sr_1_9/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473595&sr=1-9&keywords=Northern&tag=dummyaffliate"
"","","B002RU7B4Y","Pine 100% Pure Therapeutic Grade Essential Oil- 10 ml","","","","$17.98","$4.25","$13.73","76.4%","$0.17","","4.3","35","http://www.amazon.com/Pine-100%25-Therapeutic-Grade-Essential/dp/B002RU7B4Y/ref=sr_1_61/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473599&sr=1-61&keywords=Northern&tag=dummyaffliate"
"","","B001342WMG","Gerber 22-41771 EVO Tool, 12 Function Multi-Pliers with Sheath","","","","$63.29","$24.99","$38.30","60.5%","$1.00","","4.3","19","http://www.amazon.com/Gerber-22-41771-Function-Multi-Pliers-Sheath/dp/B001342WMG/ref=sr_1_100/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473604&sr=1-100&keywords=Northern&tag=dummyaffliate"
"","","B0030MK31G","Luxor 10,000 Lux Full Spectrum Light Therapy Pyramid Lamp for SAD, White","","","","$215.99","$186.01","$29.98","13.9%","$7.44","","4.3","12","http://www.amazon.com/Luxor-Spectrum-Light-Therapy-Pyramid/dp/B0030MK31G/ref=sr_1_22/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473595&sr=1-22&keywords=Northern&tag=dummyaffliate"
"","","B00000JHQE","Duracell MN1300R4 D Cell 4-Count","","","","","$9.70","","","$0.39","","4.2","697","http://www.amazon.com/Duracell-MN1300R4-D-Cell-4-Count/dp/B00000JHQE/ref=sr_1_51/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473599&sr=1-51&keywords=Northern&tag=dummyaffliate"
"","","B00BGN8QJW","Quilted Northern Ultra Soft and Strong Bath Tissue, 48 Double Rolls","","","","","$23.94","","","$0.96","","4.2","441","http://www.amazon.com/Quilted-Northern-Strong-Tissue-Double/dp/B00BGN8QJW/ref=sr_1_2/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473595&sr=1-2&keywords=Northern&tag=dummyaffliate"
"","","B00HX0TS3U","Quilted Northern Ultra Soft & Strong Double Roll Bath Tissue, 12 Count","","","","","$5.99","","","$0.24","","4.2","441","http://www.amazon.com/Quilted-Northern-Strong-Double-Tissue/dp/B00HX0TS3U/ref=sr_1_4/190-9749015-2691453?ie=UTF8&qid=1415473595&sr=1-4&keywords=Northern&tag=dummyaffliate"
"","","B000K8UL4C","Mary's Gone Crackers, Original, 6.5-Ounce Boxes (Pack of 12)","","","","","$41.88","","","$1.68","","4.2","294","http://www.amazon.com/Marys-Gone-Crackers-Original-6-5-Ounce/dp/B000K8UL4C/ref=sr_1_48/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473597&sr=1-48&keywords=Northern&tag=dummyaffliate"
"","","B00007ISWA","Duracell Rechargeable AA Batteries 4 Count (Packaging May Vary)","","","","","$12.95","","","$0.52","","4.2","205","http://www.amazon.com/Duracell-Rechargeable-Batteries-Count-Packaging/dp/B00007ISWA/ref=sr_1_49/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473599&sr=1-49&keywords=Northern&tag=dummyaffliate"
"","","B009EU825C","Kobi Electric K2L1 15-watt (75-Watt) A19 LED 5000K Cool White Light Bulb, Dimmable","","","","$33.99","$16.45","$17.54","51.6%","$0.66","","4.2","195","http://www.amazon.com/Electric-15-watt-75-Watt-5000K-Dimmable/dp/B009EU825C/ref=sr_1_87/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473601&sr=1-87&keywords=Northern&tag=dummyaffliate"
"","","B0089VNS5G","CalNaturale Svelte Organic Protein Shake, Variety Pack, 11 Ounce Aseptic Boxes (Pack of 12)","","","","","$26.92","","","$1.08","Yes","4.2","72","http://www.amazon.com/CalNaturale-Svelte-Organic-Protein-Variety/dp/B0089VNS5G/ref=sr_1_39/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473597&sr=1-39&keywords=Northern&tag=dummyaffliate"
"","","B0046IM7LM","Vitacost Butterbur Extract - Standardized -- 75 mg - 120 Capsules","","","","$39.99","$13.60","$26.39","66.0%","$0.54","","4.2","59","http://www.amazon.com/Vitacost-Butterbur-Extract-Standardized-Capsules/dp/B0046IM7LM/ref=sr_1_73/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473601&sr=1-73&keywords=Northern&tag=dummyaffliate"
"","","B004WBL5PW","Gerber 31-000594 Swagger  Drop Point Knife  Partially Serrated Edge","","","","$41.26","$17.50","$23.76","57.6%","$0.70","","4.2","53","http://www.amazon.com/Gerber-31-000594-Swagger-Partially-Serrated/dp/B004WBL5PW/ref=sr_1_85/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473601&sr=1-85&keywords=Northern&tag=dummyaffliate"
"","","B005HPKDIM","Polar Cones Premium Snow Cone & Shaved Ice Syrup, Flavor Variety Pack, Ten 1 Pint Bottles,  160 oz. (Nt. Wt.)","","","","","$41.97","","","$1.68","","4.2","31","http://www.amazon.com/Polar-Premium-Flavor-Ten-Pint/dp/B005HPKDIM/ref=sr_1_57/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473599&sr=1-57&keywords=Northern&tag=dummyaffliate"
